7,ISTH4335
8,JCB537
9,JD5070
10,JD6145R
11,JD6830
12,JD5620
13,JD6230
14,JD6930
15,Kawasaki  Mule 610
16,MF3070
17,NH T6030
18,NHT7210
19,Tym T503
20,Kuhn Powerharrow 3m
21,6m Flexicoil Cambridge Roll
22,Haldrup SB25 Plot Drill
23,Plot Rolls
24,Knight 24m Sprayer
78,Simba Cultipress
88,Batwing Topper
89,Topper 9
90,Kilworth Topper
91,Simba Flat Lift
92,Philip Watkins Press
93,KV Five Furrow Plough
94,Lemkin Karat 9KU
95,Lehner slug pelleter
96,Weaving Drill
97,Accord Combination Drill
99,WES Accord 4m Tyne Drill
100,Cascade Spreader
119,Ransom 3 Furrow Plough
120,Claas Tucano 430
121,Haldrup C-85 2m cut
122,Haldrup C-65 1.5m cut
123,Wintersteiger Drill
131,Hand Spraying Boom 
132,WES 3m Front Topper
133,Tedder
134,Claas Baler
135,PZ Hay Rake
136,Kuhn Mower Conditioner
137,Haldrup SR30 Plot Drill
138,Bomford Flexitine
139,Hand Held Compressed Air Pesticide Sprayer
140,Amzone Disc Spreader 
145,Haldrup C-85 1.5m cut
146,JD6620
147,Claas Jag
148,Kverneland Twin disc Fertiliser Spreader
149,Nordsten 3m fertiliser box
150,Horsch CO4
206,Micron shrouded plot end sprayer
207,Briggs Boom
208,Perrot Reel
209,Tecnoma 12m Sprayer
212,Wilder Grass Box
213,By Hand 
214,New Holland Baler
215,Slurry Tanker
231,McConnel SE 6 Topper
232,WES Dowdeswell 100 Series Five Furrow Plough
233,Exactomatic
238,MF6150 - WES Spraying Tractor
239,WES 12m Knight Sprayer
243,Knapsack sprayer
275,Muck spreader - international
285,WES Massey Ferguson 4m Discs
286,WES Cousins 3m Spring Tines
287,WES 3m Triple K Spring Tynes
288,WES Chisel Plough
291,Kuhn FC 300 RG
308,A1
309,A2
310,A3
311,A4
312,A5
313,A6
314,A7
315,A8
316,A9
317,WES Topper 9
