log_id,log_date,log_name,field,areas,equipment_list,categories,hours,count,depth,notes,raw_notes,raw_quantity
https://rothamstedfarm.farmos.net/log/141,2019-09-09 00:00:00,Topped: Barnfield,BARNFIELD,BARNFIELD,MF3070;Topper 9,Commercial;Topping,,,,Cutting space for car park;,"<p>Cutting space for car park</p>
",[]
https://rothamstedfarm.farmos.net/log/142,2019-09-09 00:00:00,Topped: Claycroft,CLAYCROFT,CLAYCROFT,MF3070;Topper 9,Commercial;Topping,,,,Topped field edge and experiments;,"<p>Topped field edge and experiments</p>
",[]
https://rothamstedfarm.farmos.net/log/143,2019-08-07 00:00:00,Topped: Delafield,DELAFIELD,DELAFIELD,Batwing Topper;NHT7210,Topping;Commercial,,,,Topped commercial field;,"<p>Topped commercial field</p>
",[]
https://rothamstedfarm.farmos.net/log/144,2019-08-06 00:00:00,Topped: Fosters Corner,FOSTERS CORNER,FOSTERS CORNER,Batwing Topper;NHT7210,Topping;Commercial,,,,Topped commercial field;,"<p>Topped commercial field</p>
",[]
https://rothamstedfarm.farmos.net/log/145,2019-08-28 00:00:00,Topped: Garden Plots,GARDEN PLOTS,GARDEN PLOTS,Topper 9,Commercial;Topping,,,,Topped commercial field;,"<p>Topped commercial field</p>
",[]
https://rothamstedfarm.farmos.net/log/146,2019-08-07 00:00:00,Topped: Great Harpenden 2,GREAT HARPENDEN 2,GREAT HARPENDEN 2,Batwing Topper;NHT7210,Topping;Commercial,,,,Topped commercial field;,"<p>Topped commercial field</p>
",[]
https://rothamstedfarm.farmos.net/log/147,2019-08-05 00:00:00,"Topped: Long Hoos 1, 2+3",LONG HOOS 1/2 + 3,LONG HOOS 1/2 + 3,Batwing Topper;NHT7210,Topping;Commercial,,,,Topped commercial field;,"<p>Topped commercial field</p>
",[]
https://rothamstedfarm.farmos.net/log/148,2019-08-06 00:00:00,Topped: Long Hoos 4,LONG HOOS 4,LONG HOOS 4,Batwing Topper;NHT7210,Topping;Commercial,,,,Topped commercial field;,"<p>Topped commercial field</p>
",[]
https://rothamstedfarm.farmos.net/log/149,2019-09-04 00:00:00,Topped: Meadow,MEADOW,MEADOW,Batwing Topper;NHT7210,Topping;Commercial,,,,Topped commercial field;,"<p>Topped commercial field</p>
",[]
https://rothamstedfarm.farmos.net/log/150,2019-08-08 00:00:00,Topped: Webbs,WEBBS,WEBBS,Batwing Topper;NHT7210,Topping;Commercial,,,,Topped commercial field;,"<p>Topped commercial field</p>
",[]
