log_id,log_date,log_name,field,areas,equipment_list,categories,hours,material_list,quantities,spray_volume,area_sprayed,area_sprayed_unit,purpose,method,plots,start,finish,wind_speed,wind_direction,temperature,weather_desc,notes,raw_notes
https://rothamstedfarm.farmos.net/log/103,2019-09-02 00:00:00,"Spraying: X-Clude, Fusilade Max (11519), Hallmark with Zeon Technology (12629) in GREAT FIELD 1/2",GREAT FIELD 1/2,2020/R/RAW/2037,NH T6030;Knight 24m Sprayer,Pesticide Application,,240 : X-Clude;241 : Fusilade Max (11519);242 : Hallmark with Zeon Technology (12629),X-Clude @ 0.250 l/ha;Fusilade Max (11519) @ 0.650 l/ha;Hallmark with Zeon Technology (12629) @ 75.000 ml/ha,100.0 liters,6.6,hectares,Spraying,,,,,6,W,15 C,Dry,Sprayed all newly drilled WOSR inc undrilled KWS area,Wind: 6 mph W; Weather: Dry; Temperature: 15 C; Sprayed all newly drilled WOSR inc undrilled KWS area
https://rothamstedfarm.farmos.net/log/182,2019-08-29 00:00:00,Input 08/29/2019 - 00:00 Nitram WHITEHORSE 1,,WHITEHORSE 1,Cascade Spreader,Commercial;Fertiliser Application,,145 : Nitram,Nitram @ 87 kg/ha,,,,Fertilised WOSR,Cascade spreader,,,,,,,,,
https://rothamstedfarm.farmos.net/log/183,2019-09-02 00:00:46,"Input  X-Clude, Fusilade Max (11519), Hallmark with Zeon Technology (12629) WHITEHORSE 1",,WHITEHORSE 1,,Commercial;Pesticide Application,,240 : X-Clude;241 : Fusilade Max (11519);242 : Hallmark with Zeon Technology (12629),X-Clude @ 0.25 l/ha;Fusilade Max (11519) @ 0.65 l/ha;Hallmark with Zeon Technology (12629) @ 75 ml/ha,,,,Pest control,sprayed,,,,,,,,,
https://rothamstedfarm.farmos.net/log/195,2019-08-13 00:00:00,Spraying: slug pellets in GREAT FIELD 1/2,,GREAT FIELD 1/2,Lehner slug pelleter,Pesticide Application,0:00:00,271 : SLUG PELLETS,slug pellets @ 5 kg/ha,,,,pest control,broadcast spreader,,,,,,,,Applied to area before it was ploughed. Rate is dummy value as none stated,Applied to area before it was ploughed; Rate is dummy value as none stated
https://rothamstedfarm.farmos.net/log/199,2019-08-15 00:00:00,Applied slug pellets: LONG HOOS 5 Commercial,,LONG HOOS 5,Lehner slug pelleter;Kawasaki  Mule 610,Pesticide Application,,272 : Ironmax pro (17122),Ironmax Pro @ 5 kg/ha,,,,pest control,broadcast spreader,,,,,,,,Applied slug pellets to commercial field LONG HOOS 5,Applied slug pellets to commercial field LONG HOOS 5
https://rothamstedfarm.farmos.net/log/200,2019-08-15 00:00:00,Applied slug pellets: LONG HOOS 6/7 Commercial,,LONG HOOS 6/7,Lehner slug pelleter;Kawasaki  Mule 610,Pesticide Application,,272 : Ironmax pro (17122),Ironmax Pro @ 5 kg/ha,,,,pest control,broadcast spreader,,,,,,,,Applied slug pellets to commercial field LONG HOOS 6/7,Applied slug pellets to commercial field LONG HOOS 6/7
https://rothamstedfarm.farmos.net/log/201,2019-08-15 00:00:00,Applied slug pellets: GREAT FIELD 1/2 Commercial,,GREAT FIELD 1/2,Lehner slug pelleter;Kawasaki  Mule 610,Pesticide Application,,272 : Ironmax pro (17122),Ironmax Pro @ 5 kg/ha,,,,pest control,broadcast spreader,,,,,,,,Applied slug pellets to commercial field GREAT FIELD 1/2,Applied slug pellets to commercial field GREAT FIELD 1/2
https://rothamstedfarm.farmos.net/log/202,2019-08-15 00:00:00,Applied slug pellets: GREAT HARPENDEN 2 Commercial,,GREAT HARPENDEN 2,Lehner slug pelleter;Kawasaki  Mule 610,Pesticide Application,,272 : Ironmax pro (17122),Ironmax Pro @ 5 kg/ha,,,,pest control,broadcast spreader,,,,,,,,Applied slug pellets to commercial field GREAT HARPENDEN 2,Applied slug pellets to commercial field GREAT HARPENDEN 2
https://rothamstedfarm.farmos.net/log/203,2019-08-15 00:00:00,Applied slug pellets: WHITEHORSE 1 Commercial,,WHITEHORSE 1,Lehner slug pelleter;Kawasaki  Mule 610,Pesticide Application,,272 : Ironmax pro (17122),Ironmax Pro @ 5 kg/ha,,,,pest control,broadcast spreader,,,,,,,,Applied slug pellets to commercial field WHITEHORSE 1,Applied slug pellets to commercial field WHITEHORSE 1
https://rothamstedfarm.farmos.net/log/204,2019-08-21 00:00:00,Applied slug pellets: WHITEHORSE 1 Commercial,,WHITEHORSE 1,Lehner slug pelleter;Kawasaki  Mule 610,Pesticide Application,,272 : Ironmax pro (17122),Ironmax Pro @ 5 kg/ha,,,,pest control,broadcast spreader,,,,,,,,Applied slug pellets to commercial field WHITEHORSE 1,Applied slug pellets to commercial field WHITEHORSE 1
